Sample	SE mapped uniquely	SE multimapped	SE not aligned
A1-T001F_S100_hisat	1349621.0	447432.0	694669.0
A1-T030F_S196_hisat	1322000.0	470053.0	842434.0
A10-T015F_S172_hisat	1528740.0	531952.0	853251.0
A11-T027F_S180_hisat	1390820.0	529248.0	826098.0
A12-T021G_S188_hisat	1417621.0	517666.0	1082064.0
A2-T009F_S108_hisat	1258364.0	459452.0	617061.0
A2-T039F_S204_hisat	1592589.0	593570.0	1045634.0
A3-T005G_S116_hisat	1588821.0	552782.0	1308690.0
A3-T035G_S212_hisat	1142723.0	461755.0	872650.0
A4-T002FX_S220_hisat	1225838.0	379349.0	631927.0
A4-T126F_S124_hisat	992385.0	499970.0	641062.0
A5-T010FX_S228_hisat	1239794.0	327859.0	617096.0
A5-T134F_S132_hisat	1584640.0	487073.0	926584.0
A6-T130G_S140_hisat	1332242.0	571242.0	1127926.0
A7-T046F_S148_hisat	1475597.0	433340.0	928431.0
A8-T110F_S156_hisat	1469724.0	500579.0	878100.0
A9-T055G_S164_hisat	1339298.0	535280.0	1092305.0
B1-T002F_S101_hisat	1389390.0	513154.0	741394.0
B1-T031F_S197_hisat	1394513.0	478441.0	839630.0
B10-T016F_S173_hisat	1109818.0	414566.0	709552.0
B11-T118F_S181_hisat	1143291.0	348623.0	606913.0
B12-T023G_S189_hisat	1270302.0	513621.0	1000795.0
B2-T010F_S109_hisat	1398388.0	474903.0	716301.0
B2-T040F_S205_hisat	1757003.0	553838.0	1211147.0
B3-T006G_S117_hisat	1478740.0	595379.0	1187698.0
B3-T036G_S213_hisat	1181622.0	436054.0	919353.0
B4-T003FX_S221_hisat	1440625.0	383632.0	752636.0
B4-T127F_S125_hisat	1644308.0	590198.0	955502.0
B5-T011FX_S229_hisat	1243759.0	357662.0	682551.0
B5-T135F_S133_hisat	1534384.0	584917.0	1008797.0
B6-T131G_S141_hisat	1671770.0	685999.0	1374537.0
B7-T049F_S149_hisat	1513908.0	453499.0	961246.0
