"sample.1" "tissue" "treatment" "day"
"T029F" "F" "OW" "3"
"T030F" "F" "OW" "3"
"T031F" "F" "OW" "3"
"T033F" "F" "OW" "3"
"T034F" "F" "OW" "3"
"T035F" "F" "OW" "3"
"T036F" "F" "OW" "3"
"T037F" "F" "OW" "3"
"T038F" "F" "OW" "3"
"T039F" "F" "OW" "3"
"T040F" "F" "OW" "3"
"T041F" "F" "OW" "3"
"T126F" "F" "control" "3"
"T127F" "F" "control" "3"
"T128F" "F" "control" "3"
"T129F" "F" "control" "3"
"T130F" "F" "control" "3"
"T131F" "F" "control" "3"
"T132F" "F" "control" "3"
"T133F" "F" "control" "3"
"T134F" "F" "control" "3"
"T135F" "F" "control" "3"
"T136F" "F" "control" "3"
"T137F" "F" "control" "3"
