"sample.1" "tissue" "treatment" "day"
"T001F" "F" "control" "0"
"T002F" "F" "control" "0"
"T003F" "F" "control" "0"
"T004F" "F" "control" "0"
"T005F" "F" "control" "0"
"T006F" "F" "control" "0"
"T007F" "F" "control" "0"
"T008F" "F" "control" "0"
"T009F" "F" "control" "0"
"T010F" "F" "control" "0"
"T011F" "F" "control" "0"
"T012F" "F" "control" "0"
"T126F" "F" "control" "3"
"T127F" "F" "control" "3"
"T128F" "F" "control" "3"
"T129F" "F" "control" "3"
"T130F" "F" "control" "3"
"T131F" "F" "control" "3"
"T132F" "F" "control" "3"
"T133F" "F" "control" "3"
"T134F" "F" "control" "3"
"T135F" "F" "control" "3"
"T136F" "F" "control" "3"
"T137F" "F" "control" "3"
