"sample.1" "tissue" "treatment" "day"
"T001G" "G" "control" "0"
"T002G" "G" "control" "0"
"T003G" "G" "control" "0"
"T004G" "G" "control" "0"
"T005G" "G" "control" "0"
"T006G" "G" "control" "0"
"T007G" "G" "control" "0"
"T008G" "G" "control" "0"
"T009G" "G" "control" "0"
"T010G" "G" "control" "0"
"T011G" "G" "control" "0"
"T012G" "G" "control" "0"
"T126G" "G" "control" "3"
"T127G" "G" "control" "3"
"T128G" "G" "control" "3"
"T129G" "G" "control" "3"
"T130G" "G" "control" "3"
"T131G" "G" "control" "3"
"T132G" "G" "control" "3"
"T133G" "G" "control" "3"
"T134G" "G" "control" "3"
"T135G" "G" "control" "3"
"T136G" "G" "control" "3"
"T137G" "G" "control" "3"
