sample,mussel,rna_treatment,rna_day,treatment,n_plaques,max_force,adhesion_kpa,pad_area
T046F,T046,DO,3,DO,3,0.15166666666666667,121.11573601403178,1.3366666666666667
T049F,T049,DO,3,DO,3,0.11333333333333333,61.964807616981524,2.0733333333333333
T052F,T052,DO,3,DO,2,0.2525,95.503300330033,2.735
T055F,T055,DO,3,DO,2,0.1875,80.80985915492958,2.42
T056F,T056,DO,3,DO,3,0.13666666666666666,45.46136363115892,3.1133333333333333
T057F,T057,DO,3,DO,3,0.12166666666666667,59.91385432484909,2.0733333333333333
T058F,T058,DO,3,DO,1,0.13,31.78484107579462,4.09
T014F,T014,OA,3,OA,1,0.215,41.18773946360153,5.22
T015F,T015,OA,3,OA,1,0.345,47.52066115702479,7.26
T016F,T016,OA,3,OA,3,0.14500000000000002,55.47755473462632,2.4266666666666667
T017F,T017,OA,3,OA,3,0.31333333333333335,78.80057924848414,3.9699999999999998
T019F,T019,OA,3,OA,3,0.19,77.86328897440008,2.3533333333333335
T021F,T021,OA,3,OA,1,0.09,32.84671532846715,2.74
T023F,T023,OA,3,OA,3,0.26333333333333336,74.32428682428683,3.4066666666666667
T025F,T025,OA,3,OA,3,0.26,82.70519635269451,3.1
T026F,T026,OA,3,OA,3,0.12833333333333333,39.84397492800408,3.2666666666666666
T027F,T027,OA,3,OA,3,0.19833333333333333,66.09162970247456,2.98
T118F,T118,OA,3,OA,2,0.17,55.24851492593429,3.335
T119F,T119,OA,3,OA,3,0.21166666666666667,67.77292273546955,2.9533333333333336
T029F,T029,OW,3,OW,4,0.095,34.40156035272591,2.9
T030F,T030,OW,3,OW,3,0.21333333333333335,134.65154238723943,1.6199999999999999
T031F,T031,OW,3,OW,3,0.15666666666666668,38.63395012337939,4.133333333333333
T033F,T033,OW,3,OW,2,0.18,45.22782219456147,4.105
T034F,T034,OW,3,OW,3,0.13666666666666666,40.043736713111535,3.6233333333333335
T035F,T035,OW,3,OW,2,0.10250000000000001,47.45541343901999,2.435
T036F,T036,OW,3,OW,3,0.205,65.12760368617501,3.29
T037F,T037,OW,3,OW,3,0.17,71.31532451134724,2.43
T038F,T038,OW,3,OW,3,0.17833333333333334,55.20054834508433,3.276666666666667
T039F,T039,OW,3,OW,3,0.17333333333333334,72.78874269005848,2.353333333333333
T040F,T040,OW,3,OW,3,0.07833333333333334,33.133376811230676,2.4266666666666667
T041F,T041,OW,3,OW,1,0.155,91.71597633136095,1.69
T001F,T001,control,0,NA,NA,NA,NA,NA
T002F,T002,control,0,NA,NA,NA,NA,NA
T003F,T003,control,0,NA,NA,NA,NA,NA
T004F,T004,control,0,NA,NA,NA,NA,NA
T005F,T005,control,0,NA,NA,NA,NA,NA
T006F,T006,control,0,NA,NA,NA,NA,NA
T008F,T008,control,0,NA,NA,NA,NA,NA
T009F,T009,control,0,NA,NA,NA,NA,NA
T010F,T010,control,0,NA,NA,NA,NA,NA
T011F,T011,control,0,NA,NA,NA,NA,NA
T012F,T012,control,0,NA,NA,NA,NA,NA
T126F,T126,control,3,NA,NA,NA,NA,NA
T127F,T127,control,3,NA,NA,NA,NA,NA
T128F,T128,control,3,NA,NA,NA,NA,NA
T129F,T129,control,3,NA,NA,NA,NA,NA
T130F,T130,control,3,NA,NA,NA,NA,NA
T131F,T131,control,3,NA,NA,NA,NA,NA
T132F,T132,control,3,NA,NA,NA,NA,NA
T133F,T133,control,3,NA,NA,NA,NA,NA
T134F,T134,control,3,NA,NA,NA,NA,NA
T135F,T135,control,3,NA,NA,NA,NA,NA
