LOC_ID,metric,metric_type,n,slope,p_lm,rho_partial,q_lm,protein_name,gene_set
LOC134687008,adhesion_kpa,level,44,40.19629211079918,8.722880752828227e-4,0.6002951333023192,0.45620666337291627,Eukaryotic translation initiation factor 2 subunit 3 (EC 3.6.5.3) (Eukaryotic translation initiation factor 2 subunit gamma) (eIF2-gamma),DEG_union
LOC134705633,adhesion_kpa,level,44,19.98214389573131,0.00287102606592456,0.4546625017456796,0.5038244365477348,Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4) (Glutamine-dependent asparagine synthetase),DEG_union
LOC134706618,adhesion_kpa,level,44,12.534347487831809,0.0028900063281896834,0.4634983111359654,0.5038244365477348,NA,DEG_union
LOC134692595,adhesion_kpa,level,44,-47.505491299187135,0.005412533238899376,-0.43887997845369764,0.5826527231013091,Protein DEK,DEG_union
LOC134706345,adhesion_kpa,level,44,26.65812795831356,0.007495441863827369,0.42607125140287255,0.5826527231013091,Glycine--tRNA ligase (EC 6.1.1.14) (Diadenosine tetraphosphate synthetase) (Ap4A synthetase) (EC 2.7.7.-) (Glycyl-tRNA synthetase) (GlyRS) (Glycyl-tRNA synthetase 1),DEG_union
LOC134714502,adhesion_kpa,level,44,41.973624006259,0.00764345421732817,0.4363810227332097,0.5826527231013091,Protein PRRC1-A (Proline-rich and coiled-coil-containing protein 1-A),DEG_union
LOC134728203,adhesion_kpa,level,44,26.47410208132729,0.007843509010839883,0.38240302702046386,0.5826527231013091,"Serine--tRNA ligase, cytoplasmic (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)",DEG_union
LOC134685659,adhesion_kpa,level,44,31.52660231926448,0.009956372627312023,0.43932571076835736,0.5826527231013091,"Leucine--tRNA ligase, cytoplasmic (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS) (cLRS)",DEG_union
LOC134688292,adhesion_kpa,level,44,17.309514908820667,0.010026528695816026,0.3439536115901772,0.5826527231013091,NA,DEG_union
LOC134714791,adhesion_kpa,level,44,26.3060300255538,0.013119612979171334,0.2956537009266644,0.6275043770905602,"Asparagine--tRNA ligase, cytoplasmic (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS)",DEG_union
LOC134695945,adhesion_kpa,level,44,28.79272523907107,0.013850230624803776,0.39864003163177797,0.6275043770905602,Eukaryotic translation initiation factor 3 subunit F (eIF3f) (Deubiquitinating enzyme eIF3f) (EC 3.4.19.12) (Eukaryotic translation initiation factor 3 subunit 5) (eIF-3-epsilon) (eIF3 p47),DEG_union
LOC134695835,adhesion_kpa,level,44,21.132797245077377,0.014397805975309218,0.3470387309514872,0.6275043770905602,Tubulin beta-4B chain (Tubulin beta-2C chain),DEG_union
LOC134711077,adhesion_kpa,level,44,33.72862788277538,0.015800555027721735,0.44437657654200474,0.6356684830383437,Homeobox protein OTX2 (Orthodenticle homolog 2),DEG_union
LOC134725956,adhesion_kpa,level,44,-47.33301740183969,0.017558076008621866,-0.35463840402050906,0.6358674884132451,Ankyrin repeat and KH domain-containing protein 1 (HIV-1 Vpr-binding ankyrin repeat protein) (Multiple ankyrin repeats single KH domain) (hMASK),DEG_union
LOC134697440,adhesion_kpa,level,44,15.570213276286152,0.019062095030441602,0.3861705083765106,0.6358674884132451,Tubulin beta-4B chain (Tubulin beta-2C chain),DEG_union
LOC134706619,adhesion_kpa,level,44,13.052015691187371,0.019452925075739813,0.326181686786211,0.6358674884132451,Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4) (Glutamine-dependent asparagine synthetase),DEG_union
LOC134723308,adhesion_kpa,level,44,34.867411775873876,0.023760011664427705,0.24915008274364428,0.6636058534846738,Pre-rRNA-processing protein TSR1 homolog,DEG_union
LOC134711700,adhesion_kpa,level,44,32.316449538057995,0.024449678299801807,0.28227186924646525,0.6636058534846738,"Serine/arginine-rich splicing factor 4 (Splicing factor, arginine/serine-rich 4)",DEG_union
LOC134714862,adhesion_kpa,level,44,-31.749997493385553,0.024631506977352443,-0.21842304318821787,0.6636058534846738,"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial",DEG_union
LOC134719614,adhesion_kpa,level,44,-28.54696627280001,0.025376896882779117,-0.2931988232747858,0.6636058534846738,Lysine-specific demethylase 5A (EC 1.14.11.67) (Histone demethylase JARID1A) (Jumonji/ARID domain-containing protein 1A) (Retinoblastoma-binding protein 2) (RBBP-2) ([histone H3]-trimethyl-L-lysine(4) demethylase 5A),DEG_union
LOC134696498,adhesion_kpa,level,44,14.386892221290656,0.03489150452891185,0.3343290250649723,0.7433887689996144,Sodium- and chloride-dependent glycine transporter 1 (GlyT-1) (GlyT1) (Solute carrier family 6 member 9),DEG_union
LOC134724883,adhesion_kpa,level,44,30.731408221867895,0.03935822784484715,0.3615944433068836,0.7433887689996144,Tubulin alpha-1 chain (EC 3.6.5.-),DEG_union
LOC134682079,adhesion_kpa,level,44,20.112792019007696,0.04044576443467726,0.3523327191218527,0.7433887689996144,Cilia- and flagella-associated protein 100 (Coiled-coil domain-containing protein 37),DEG_union
LOC134714939,adhesion_kpa,level,44,28.905134478412045,0.04070544675470062,0.23781887607597346,0.7433887689996144,"Threonine--tRNA ligase 1, cytoplasmic (EC 6.1.1.3) (Threonine--tRNA ligase, cytoplasmic) (Threonyl-tRNA synthetase) (ThrRS) (Threonyl-tRNA synthetase 1)",DEG_union
LOC134697125,adhesion_kpa,level,44,-27.516949868591357,0.04269786284419579,-0.25104167273725575,0.7433887689996144,"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1 (Centaurin-delta-2) (Cnt-d2)",DEG_union
LOC134696347,adhesion_kpa,level,44,20.472701974285876,0.0456551708982108,0.3365354840939822,0.7433887689996144,Tubulin beta chain (Beta-tubulin),DEG_union
LOC134712114,adhesion_kpa,level,44,-35.94950374942792,0.046513666194827975,-0.25150413440188363,0.7433887689996144,"Pyruvate carboxylase, mitochondrial (EC 6.4.1.1) (Pyruvic carboxylase) (PCB)",DEG_union
LOC134695854,adhesion_kpa,level,44,16.974034312019118,0.047269272770022464,0.328092951826515,0.7433887689996144,Tubulin beta-4B chain (Tubulin beta-2C chain),DEG_union
LOC134683219,adhesion_kpa,level,44,23.73813699888541,0.047456540216571856,0.3230293459371776,0.7433887689996144,NA,DEG_union
LOC134712900,adhesion_kpa,level,44,-25.366134217313295,0.04990570317574085,-0.27153919544220234,0.7433887689996144,NA,DEG_union
LOC134721694,adhesion_kpa,level,44,19.986527180763133,0.05230928617110911,0.28694134952499317,0.7433887689996144,Eukaryotic translation initiation factor 2 subunit 2 (Eukaryotic translation initiation factor 2 subunit beta) (eIF2-beta),DEG_union
LOC134692001,adhesion_kpa,level,44,14.059289627332879,0.05245277324480445,0.31529316410130726,0.7433887689996144,NA,DEG_union
LOC134683210,adhesion_kpa,level,44,-16.87790939033398,0.054640071809533744,-0.2632524162694799,0.7433887689996144,Reelin (EC 3.4.21.-),DEG_union
LOC134692032,adhesion_kpa,level,44,15.60837245547101,0.05545153198536499,0.29544668576771504,0.7433887689996144,NA,DEG_union
LOC134712189,adhesion_kpa,level,44,17.920546188736708,0.05634703904222402,0.29466065334576336,0.7433887689996144,NA,DEG_union
LOC134724522,adhesion_kpa,level,44,13.825928482312131,0.05637131931877195,0.32667212667396983,0.7433887689996144,GTP-binding protein 1,DEG_union
LOC134724598,adhesion_kpa,level,44,-29.056524452206567,0.06149943211682499,-0.3006262242071542,0.7433887689996144,Folliculin-interacting protein 1,DEG_union
LOC134706448,adhesion_kpa,level,44,22.574562622011964,0.0627430231265892,0.3356780954086136,0.7433887689996144,ATP-binding cassette sub-family F member 2,DEG_union
LOC134691216,adhesion_kpa,level,44,15.396239943993116,0.06577340079451285,0.31204655832564016,0.7433887689996144,NA,DEG_union
LOC134696261,adhesion_kpa,level,44,24.84885541682056,0.06709605827072587,0.29424318958305595,0.7433887689996144,Transcription factor BTF3 homolog 4 (Basic transcription factor 3-like 4),DEG_union
LOC134685243,adhesion_kpa,level,44,10.446312329800609,0.06751243925115054,0.42039671283441415,0.7433887689996144,NA,DEG_union
LOC134725988,adhesion_kpa,level,44,23.11403317380313,0.06758109478820554,0.27426544598070396,0.7433887689996144,NA,DEG_union
LOC134715440,adhesion_kpa,level,44,21.002259416474924,0.06949071386457673,0.2960742313633732,0.7433887689996144,Zinc finger protein 474,DEG_union
LOC134694860,adhesion_kpa,level,44,17.991352363720182,0.07012476151626211,0.26045918831825415,0.7433887689996144,Thioredoxin domain-containing protein 6 (Thioredoxin-like protein 2) (Txl-2),DEG_union
LOC134722127,adhesion_kpa,level,44,-24.606101807195273,0.07140772512174555,-0.21118118093068242,0.7433887689996144,Monocarboxylate transporter 14 (MCT 14) (Solute carrier family 16 member 14),DEG_union
LOC134706271,adhesion_kpa,level,44,21.958629833576413,0.07196803605744072,0.27757073158073786,0.7433887689996144,Tubulin monoglutamylase TTLL4 (EC 6.3.2.-) (Protein monoglutamylase TTLL4) (Tubulin--tyrosine ligase-like protein 4),DEG_union
LOC134715894,adhesion_kpa,level,44,20.328843259081747,0.07390393855231243,0.3987724463840017,0.7433887689996144,Calcium/calmodulin-dependent protein kinase type IV (CaMK IV) (EC 2.7.11.17) (CaM kinase-GR),DEG_union
LOC134721274,adhesion_kpa,level,44,-33.75227491062963,0.07676394966240303,-0.2906364331527551,0.7433887689996144,Zinc finger CCCH domain-containing protein 18,DEG_union
LOC134711806,adhesion_kpa,level,44,-25.248570887696047,0.0782647498179034,-0.2813783279282603,0.7433887689996144,Protein timeless,DEG_union
LOC134683381,adhesion_kpa,level,44,16.53258738927233,0.08061377299958433,0.2680747196636662,0.7433887689996144,NA,DEG_union
LOC134725659,adhesion_kpa,level,44,19.332682416977207,0.08158487426174105,0.265002206873745,0.7433887689996144,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2 (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase 2) (Glutamine:fructose-6-phosphate amidotransferase 2) (GFAT 2) (GFAT2) (Hexosephosphate aminotransferase 2),DEG_union
LOC134721501,adhesion_kpa,level,44,13.949864085657072,0.08287469971584462,0.3481921629001582,0.7433887689996144,Lysine--tRNA ligase (EC 2.7.7.-) (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS),DEG_union
LOC134680850,adhesion_kpa,level,44,12.920865920557484,0.0843299442476135,0.400163088963813,0.7433887689996144,Major vault protein (MVP),DEG_union
LOC134725835,adhesion_kpa,level,44,-21.9494990462229,0.0871368158658339,-0.23336521582875785,0.7433887689996144,Heterochromatin protein 1-binding protein 3,DEG_union
LOC134685609,adhesion_kpa,level,44,-19.64218579776432,0.09084853985786416,-0.3201308128478436,0.7433887689996144,Calumenin,DEG_union
LOC134713272,adhesion_kpa,level,44,-26.159211659775323,0.09087316440776318,-0.21291928203778943,0.7433887689996144,Tyrosine-protein phosphatase Lar (EC 3.1.3.48) (Protein-tyrosine-phosphate phosphohydrolase) (dLAR),DEG_union
LOC134712485,adhesion_kpa,level,44,20.286412174537695,0.09240559020584113,0.2756652163646318,0.7433887689996144,Leucine-rich repeat and death domain-containing protein 1,DEG_union
LOC134725101,adhesion_kpa,level,44,-18.016293433653924,0.09245093801227536,-0.21756214945084562,0.7433887689996144,RNA binding protein fox-1 homolog 1 (Ataxin-2-binding protein 1) (Fox-1 homolog A),DEG_union
LOC134707011,adhesion_kpa,level,44,37.98828165496259,0.09245868037728339,0.21528078662931419,0.7433887689996144,Far upstream element-binding protein 3 (FUSE-binding protein 3),DEG_union
LOC134712368,adhesion_kpa,level,44,19.14336167107559,0.09247193988368228,0.23489240827141694,0.7433887689996144,"Amino acid transporter heavy chain SLC3A1 (D2) (Neutral and basic amino acid transport protein) (NBAT) (Solute carrier family 3 member 1) (b(0,+)-type amino acid transporter-related heavy chain) (NAA-TR) (rBAT)",DEG_union
LOC134692455,adhesion_kpa,level,44,21.378218379613436,0.09358717920509213,0.2479671216510165,0.7433887689996144,Nucleolar GTP-binding protein 2 (Autoantigen NGP-1),DEG_union
LOC134707080,adhesion_kpa,level,44,13.003078018067779,0.09855494325579163,0.34575902402617664,0.7433887689996144,Chitin synthase chs-2 (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase chs-2),DEG_union
LOC134707958,adhesion_kpa,level,44,20.060868309192568,0.099430397760904607,0.25079001157753367,0.7433887689996144,Large neutral amino acids transporter small subunit 1 (4F2 light chain) (4F2 LC) (4F2LC) (CD98 light chain) (Integral membrane protein E16) (E16) (L-type amino acid transporter 1) (hLAT1) (Solute carrier family 7 member 5) (y+ system cationic amino acid transporter),DEG_union
LOC134685295,adhesion_kpa,level,44,13.911518037617869,0.10052153838673598,0.23831384867286157,0.7433887689996144,NA,DEG_union
LOC134693219,adhesion_kpa,level,44,-23.964804640461736,0.1021578893054198,-0.2953016179979661,0.7433887689996144,Multifunctional protein CAD (Carbamoyl phosphate synthetase 2-aspartate transcarbamylase-dihydroorotase) [Includes: Glutamine-dependent carbamoyl-phosphate synthase (EC 6.3.5.5); Glutamine amidotransferase (GATase) (GLNase) (EC 3.5.1.2); Ammonium-dependent carbamoyl phosphate synthase (CPS) (CPSase) (EC 6.3.4.16); Aspartate carbamoyltransferase (EC 2.1.3.2); Dihydroorotase (EC 3.5.2.3)],DEG_union
LOC134720696,adhesion_kpa,level,44,-13.65903920258314,0.10418066832976326,-0.31129622533128604,0.7433887689996144,Hepatocyte nuclear factor 4-alpha (HNF-4-alpha) (Nuclear receptor subfamily 2 group A member 1),DEG_union
