LOC_ID,metric,metric_type,n,slope,p_lm,rho_partial,q_lm,protein_name,gene_set
LOC134691212,adhesion_kpa,level,43,54.05906838172538,4.13173954664325e-4,0.5199645238601587,0.4168925202563039,NA,DEG_union
LOC134715335,adhesion_kpa,level,43,21.361043572682874,0.0017439260304252895,0.3537771413366482,0.6045367606173657,Chitin synthase chs-2 (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase chs-2),DEG_union
LOC134694055,adhesion_kpa,level,43,21.367487451650884,0.0017974333814193234,0.3802428469274082,0.6045367606173657,NA,DEG_union
LOC134715081,adhesion_kpa,level,43,60.88785201777179,0.0030412816713808752,0.301485243481328,0.6680985375954451,Myocyte-specific enhancer factor 2C,DEG_union
LOC134712824,adhesion_kpa,level,43,71.38209688012836,0.004112599976044087,0.27563517505079865,0.6680985375954451,Serine/threonine-protein kinase 24 (EC 2.7.11.1) (Mammalian STE20-like protein kinase 3) (MST-3) (STE20-like kinase MST3) [Cleaved into: Serine/threonine-protein kinase 24 36 kDa subunit (Mammalian STE20-like protein kinase 3 N-terminal) (MST3/N); Serine/threonine-protein kinase 24 12 kDa subunit (Mammalian STE20-like protein kinase 3 C-terminal) (MST3/C)],DEG_union
LOC134725758,adhesion_kpa,level,43,-42.48862382008335,0.004322046790196271,-0.506893118925394,0.6680985375954451,Peroxiredoxin-1 (EC 1.11.1.24) (Thioredoxin-dependent peroxiredoxin 1),DEG_union
LOC134710394,adhesion_kpa,level,43,-18.901713335571028,0.005105500951263685,-0.3544859746803976,0.6680985375954451,32 kDa beta-galactoside-binding lectin (32 kDa GBP),DEG_union
LOC134691023,adhesion_kpa,level,43,43.49239526123372,0.0052971142723127465,0.3628155594671466,0.6680985375954451,NA,DEG_union
LOC134685650,adhesion_kpa,level,43,61.487855504535695,0.006222724359924863,0.5501800169083663,0.6781262150122938,R-spondin-2 (Roof plate-specific spondin-2),DEG_union
LOC134694719,adhesion_kpa,level,43,28.632195551119086,0.006720775173560889,0.43886315448208024,0.6781262150122938,NA,DEG_union
LOC134725793,adhesion_kpa,level,43,-49.323263590728125,0.007722712170852909,-0.44037398571920905,0.7083833254900532,NA,DEG_union
LOC134700975,adhesion_kpa,level,43,36.85128812136224,0.009916734597844682,0.4735628583048889,0.8181274618402863,NA,DEG_union
LOC134685157,adhesion_kpa,level,43,-58.9551993787651,0.012362155778608549,-0.35552564672894976,0.8181274618402863,Transcription initiation factor TFIID subunit 8 (TBP-associated factor 8),DEG_union
LOC134719022,adhesion_kpa,level,43,43.73346406190948,0.012727698832305831,0.3953214125289467,0.8181274618402863,Transcription initiation factor IIA subunit 2 (General transcription factor IIA subunit 2) (Transcription initiation factor IIA gamma chain) (TFIIA-gamma),DEG_union
LOC134697285,adhesion_kpa,level,43,18.416474957528923,0.013285678933659817,0.29841404420644196,0.8181274618402863,Sterol regulatory element-binding protein 1 (SREBP-1) (Sterol regulatory element-binding transcription factor 1) [Cleaved into: Processed sterol regulatory element-binding protein 1 (Transcription factor SREBF1)],DEG_union
LOC134697375,adhesion_kpa,level,43,35.064053590612026,0.014127469771468315,0.3437515406814471,0.8181274618402863,"Myotubularin-related protein 8 (Phosphatidylinositol-3,5-bisphosphate 3-phosphatase) (EC 3.1.3.95) (Phosphatidylinositol-3-phosphate phosphatase) (EC 3.1.3.64)",DEG_union
LOC134715516,adhesion_kpa,level,43,-25.265341212389625,0.01548042737764503,-0.4084338002669515,0.8181274618402863,Chitin synthase chs-2 (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase chs-2),DEG_union
LOC134691295,adhesion_kpa,level,43,-38.94517012305504,0.01582550815048543,-0.21015621640324939,0.8181274618402863,Bystin,DEG_union
LOC134711990,adhesion_kpa,level,43,-38.69346326891481,0.01814388812463658,-0.3909443578471645,0.8181274618402863,Calmodulin-2 (CaM 2),DEG_union
LOC134695253,adhesion_kpa,level,43,35.023198456746485,0.0192527509435092,0.36198560606502644,0.8181274618402863,Collagen alpha-3(VI) chain,DEG_union
LOC134688189,adhesion_kpa,level,43,-52.384295367749615,0.020251384335110784,-0.386058001937773,0.8181274618402863,Ras-related protein Rab-23,DEG_union
LOC134685538,adhesion_kpa,level,43,-23.79977201375474,0.022281853499468908,-0.24986343083654952,0.8181274618402863,Splicing factor 3A subunit 2 (SF3a66) (Spliceosome-associated protein 62) (SAP 62),DEG_union
LOC134725475,adhesion_kpa,level,43,26.76902123141932,0.022515534229735647,0.29953896069839253,0.8181274618402863,Stearoyl-CoA desaturase 5 (EC 1.14.19.1) (Acyl-CoA-desaturase 4) (Stearoyl-CoA 9-desaturase),DEG_union
LOC134693464,adhesion_kpa,level,43,-37.786337706825975,0.023660114660876846,-0.14628077155722569,0.8181274618402863,"Alanine--glyoxylate aminotransferase (AGT) (EC 2.6.1.44) (Serine--pyruvate aminotransferase, mitochondrial) (SPT) (EC 2.6.1.51)",DEG_union
LOC134716805,adhesion_kpa,level,43,14.751164554601369,0.02389363373856086,0.3551031713797591,0.8181274618402863,NA,DEG_union
LOC134706394,adhesion_kpa,level,43,-35.46526464867524,0.026867709414842705,-0.356181462998742,0.8181274618402863,Protein disulfide-isomerase A4 (EC 5.3.4.1) (Endoplasmic reticulum resident protein 70) (ER protein 70) (ERp70) (Endoplasmic reticulum resident protein 72) (ER protein 72) (ERp-72) (ERp72),DEG_union
LOC134725161,adhesion_kpa,level,43,-19.979449053861053,0.02767452360008504,-0.3214663501788214,0.8181274618402863,Sodium-independent sulfate anion transporter (Kidney brain anion transporter) (KBAT) (Solute carrier family 26 member 11),DEG_union
LOC134703424,adhesion_kpa,level,43,-61.97743664973139,0.02802585289187467,-0.3505081779239482,0.8181274618402863,NA,DEG_union
LOC134713745,adhesion_kpa,level,43,31.593725313150845,0.029786467098578347,0.1952609425395035,0.8181274618402863,Actin-2 (EC 3.6.4.-),DEG_union
LOC134702631,adhesion_kpa,level,43,-64.17837556742727,0.030543324179880198,-0.41392801503911963,0.8181274618402863,NA,DEG_union
