"metric","future_arm","n","mean","sd","median","anova_F","anova_df","anova_p","kruskal_H","kruskal_p"
"adhesion_kpa","control",12,89.3128695595219,19.858052919361,95.3996796679372,1.64143532519186,"3,57",0.189920665691789,5.06251194290513,0.167276525679422
"adhesion_kpa","OA",17,77.7901742019778,24.6318682510032,81.6114942401427,1.64143532519186,"3,57",0.189920665691789,5.06251194290513,0.167276525679422
"adhesion_kpa","OW",14,74.0993840859618,20.5873937114098,66.9391826245348,1.64143532519186,"3,57",0.189920665691789,5.06251194290513,0.167276525679422
"adhesion_kpa","DO",18,71.425209781312,23.4986526166636,72.6172492133319,1.64143532519186,"3,57",0.189920665691789,5.06251194290513,0.167276525679422
"max_force","control",12,0.242083333333333,0.0507948189913463,0.232083333333333,0.522166331701328,"3,57",0.668770319108669,1.31258615747604,0.726146560575658
"max_force","OA",17,0.232549019607843,0.076114674192635,0.226666666666667,0.522166331701328,"3,57",0.668770319108669,1.31258615747604,0.726146560575658
"max_force","OW",14,0.266428571428571,0.0829706392896125,0.254166666666667,0.522166331701328,"3,57",0.668770319108669,1.31258615747604,0.726146560575658
"max_force","DO",18,0.250185185185185,0.086682010121604,0.22625,0.522166331701328,"3,57",0.668770319108669,1.31258615747604,0.726146560575658
"pad_area","control",12,2.75583333333333,0.520809635824527,2.76333333333333,4.61256514092347,"3,57",0.00586821246861475,12.4137094613608,0.00609234373758989
"pad_area","OA",17,3.03637254901961,0.737544310178801,3.06666666666667,4.61256514092347,"3,57",0.00586821246861475,12.4137094613608,0.00609234373758989
"pad_area","OW",14,3.65119047619048,0.98591478380637,3.34333333333333,4.61256514092347,"3,57",0.00586821246861475,12.4137094613608,0.00609234373758989
"pad_area","DO",18,3.65972222222222,0.8358697184816,3.58083333333333,4.61256514092347,"3,57",0.00586821246861475,12.4137094613608,0.00609234373758989
"max_displacement","control",12,0.168798472222222,0.0624318207458794,0.146046666666667,3.40528391432383,"3,57",0.0235708915335333,7.9222166920708,0.0476469046103799
"max_displacement","OA",17,0.145841960784314,0.0251139785405908,0.147373333333333,3.40528391432383,"3,57",0.0235708915335333,7.9222166920708,0.0476469046103799
"max_displacement","OW",14,0.132327857142857,0.0232030924426271,0.126275,3.40528391432383,"3,57",0.0235708915335333,7.9222166920708,0.0476469046103799
"max_displacement","DO",18,0.131321111111111,0.0216363406547435,0.12953,3.40528391432383,"3,57",0.0235708915335333,7.9222166920708,0.0476469046103799
