gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,LOC_ID,transcript,database,uniprot_accession,geneID,species,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,reviewed,entryname,protein_name,gene_name,organism,prot_length,GO_ID,GO_BP,GO_MF,GO_CC,Genename_orderedlocus,Induction,Pathwaycommons,Reactome,Unipathway,Interacts_with
gene-LOC134702776|LOC134702776,333.658889495482,-0.394401306428891,0.13993112843139,4.47187952667319e-4,0.0334333974794185,LOC134702776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene-LOC134683075|LOC134683075,13.2233491015681,0.950045203922246,0.303865341023021,7.77341964544708e-5,0.0114158219935994,LOC134683075,lcl|NC_086381.1_cds_XP_063398203.1_36251,sp,Q6AXM9,RLIG1,RAT,46.224,331,168,3,1,993,1,321,3.29e-97,294,reviewed,RLIG1_RAT,RNA ligase 1 (EC 6.5.1.3) (RNA ligase) (Rnl),,Rattus norvegicus (Rat),325,GO:0000302; GO:0002244; GO:0003972; GO:0005524; GO:0042245,hematopoietic progenitor cell differentiation [GO:0002244]; response to reactive oxygen species [GO:0000302]; RNA repair [GO:0042245],ATP binding [GO:0005524]; RNA ligase (ATP) activity [GO:0003972],,,,,,,
gene-LOC134714863|LOC134714863,21.5343603909471,1.03752080499203,0.243637283696597,1.09230761283979e-6,5.98875853866296e-4,LOC134714863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene-LOC134710193|LOC134710193,24.119064707359,2.30725225879571,0.877420811504132,2.43033930848167e-4,0.0229163103770784,LOC134710193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene-LOC134687200|LOC134687200,95.2630189498555,0.352127073392276,0.106300024060066,1.11521015692515e-4,0.0138067712277853,LOC134687200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene-LOC134685124|LOC134685124,230.58613930262,0.291563999255494,0.0795470037016035,4.3097544131367e-5,0.00770509136818179,LOC134685124,lcl|NC_086381.1_cds_XP_063400657.1_34299,sp,Q28EB4,NP1L1,XENTR,62.963,324,107,3,97,1065,33,344,2.52e-115,345,reviewed,NP1L1_XENTR,Nucleosome assembly protein 1-like 1,nap1l1 TNeu131c07.1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),393,GO:0005634; GO:0005737; GO:0006334; GO:0007283; GO:0030332; GO:0042393; GO:0042802; GO:0045944; GO:0060215,nucleosome assembly [GO:0006334]; positive regulation of transcription by RNA polymerase II [GO:0045944]; primitive hemopoiesis [GO:0060215]; spermatogenesis [GO:0007283],cyclin binding [GO:0030332]; histone binding [GO:0042393]; identical protein binding [GO:0042802],cytoplasm [GO:0005737]; nucleus [GO:0005634],,,,,,
gene-LOC134685124|LOC134685124,230.58613930262,0.291563999255494,0.0795470037016035,4.3097544131367e-5,0.00770509136818179,LOC134685124,lcl|NC_086381.1_cds_XP_063400651.1_34300,sp,Q7ZY81,NPL1B,XENLA,60.597,335,108,3,97,1098,33,344,2.4e-112,338,reviewed,NPL1B_XENLA,Nucleosome assembly protein 1-like 1-B (xNAP1L-B) (Nucleosome assembly protein 1) (NAP1) (xNAP-1),nap1l1-b nap1-b,Xenopus laevis (African clawed frog),393,GO:0000785; GO:0003682; GO:0005634; GO:0005737; GO:0006334; GO:0007283; GO:0030332; GO:0042393; GO:0042802; GO:0045944; GO:0060215,nucleosome assembly [GO:0006334]; positive regulation of transcription by RNA polymerase II [GO:0045944]; primitive hemopoiesis [GO:0060215]; spermatogenesis [GO:0007283],chromatin binding [GO:0003682]; cyclin binding [GO:0030332]; histone binding [GO:0042393]; identical protein binding [GO:0042802],chromatin [GO:0000785]; cytoplasm [GO:0005737]; nucleus [GO:0005634],,,,,,
gene-LOC134685124|LOC134685124,230.58613930262,0.291563999255494,0.0795470037016035,4.3097544131367e-5,0.00770509136818179,LOC134685124,lcl|NC_086381.1_cds_XP_063400658.1_34301,sp,P28656,NP1L1,MOUSE,61.656,326,107,4,106,1080,35,343,1.53e-118,353,reviewed,NP1L1_MOUSE,Nucleosome assembly protein 1-like 1 (Brain protein DN38) (NAP-1-related protein),Nap1l1 Nrp,Mus musculus (Mouse),391,GO:0000785; GO:0003682; GO:0005634; GO:0005737; GO:0006334; GO:0007399; GO:0019900; GO:0042393; GO:0042470; GO:0050769; GO:0140713; GO:2000179,nervous system development [GO:0007399]; nucleosome assembly [GO:0006334]; positive regulation of neural precursor cell proliferation [GO:2000179]; positive regulation of neurogenesis [GO:0050769],chromatin binding [GO:0003682]; histone binding [GO:0042393]; histone chaperone activity [GO:0140713]; kinase binding [GO:0019900],chromatin [GO:0000785]; cytoplasm [GO:0005737]; melanosome [GO:0042470]; nucleus [GO:0005634],,,,,,Q9WVS7
gene-LOC134685124|LOC134685124,230.58613930262,0.291563999255494,0.0795470037016035,4.3097544131367e-5,0.00770509136818179,LOC134685124,lcl|NC_086381.1_cds_XP_063400653.1_34306,sp,Q78ZA7,NP1L4,MOUSE,60.058,343,112,3,115,1140,27,345,5.43e-117,349,reviewed,NP1L4_MOUSE,Nucleosome assembly protein 1-like 4,Nap1l4,Mus musculus (Mouse),375,GO:0000785; GO:0003682; GO:0005634; GO:0005737; GO:0006334; GO:0030425; GO:0031491; GO:0042393; GO:0043025,nucleosome assembly [GO:0006334],chromatin binding [GO:0003682]; histone binding [GO:0042393]; nucleosome binding [GO:0031491],chromatin [GO:0000785]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; neuronal cell body [GO:0043025]; nucleus [GO:0005634],,,,,,
gene-LOC134721294|LOC134721294,133.315138384106,1.07762311806622,0.323685415752319,3.6580161755774e-5,0.00733744512876794,LOC134721294,lcl|NC_086378.1_cds_XP_063440247.1_24875,sp,Q9QXE4,T53I1,MOUSE,33.043,230,123,8,1,651,1,212,3.52e-21,92,reviewed,T53I1_MOUSE,Tumor protein p53-inducible nuclear protein 1 (Stress-induced protein) (Thymus-expressed acidic protein) (TEAP) (p53-dependent damage-inducible nuclear protein 1) (p53DINP1),Trp53inp1 Sip,Mus musculus (Mouse),239,GO:0000045; GO:0005634; GO:0005776; GO:0005829; GO:0006915; GO:0008285; GO:0009408; GO:0010508; GO:0010628; GO:0010629; GO:0016209; GO:0016605; GO:0030336; GO:0031410; GO:0034644; GO:0043065; GO:0045893; GO:0048102; GO:0048147; GO:0071361; GO:0071447; GO:0072703; GO:1904761,apoptotic process [GO:0006915]; autophagic cell death [GO:0048102]; autophagosome assembly [GO:0000045]; cellular response to ethanol [GO:0071361]; cellular response to hydroperoxide [GO:0071447]; cellular response to methyl methanesulfonate [GO:0072703]; cellular response to UV [GO:0034644]; negative regulation of cell migration [GO:0030336]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of fibroblast proliferation [GO:0048147]; negative regulation of gene expression [GO:0010629]; negative regulation of myofibroblast differentiation [GO:1904761]; positive regulation of apoptotic process [GO:0043065]; positive regulation of autophagy [GO:0010508]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of gene expression [GO:0010628]; response to heat [GO:0009408],antioxidant activity [GO:0016209],autophagosome [GO:0005776]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; nucleus [GO:0005634]; PML body [GO:0016605],,"INDUCTION: By adriamycin, methymethane sulfonate, ethanol, H(2)O(2), ultraviolet irradiation and heat shock. Rapidly induced in acinar cells of the pancreas with acute pancreatitis upon caerulein treatment. {ECO:0000269|PubMed:11557757}.",,R-MMU-6804756;,,
