"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","LOC_ID","transcript","database","uniprot_accession","geneID","species","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore","reviewed","entryname","protein_name","gene_name","organism","prot_length","GO_ID","GO_BP","GO_MF","GO_CC","Genename_orderedlocus","Induction","Pathwaycommons","Reactome","Unipathway","Interacts_with"
"gene-LOC134698935|LOC134698935",16.7228032004502,3.50282455943221,1.32406344577202,0.000202102072518329,0.00645266356968204,"LOC134698935","lcl|NW_026963290.1_cds_XP_063416686.1_50444","sp","Q9Y2Q3","GSTK1","HUMAN",48.357,213,109,1,13,651,6,217,6.23e-67,209,"reviewed","GSTK1_HUMAN","Glutathione S-transferase kappa 1 (EC 2.5.1.18) (GST 13-13) (GST class-kappa) (GSTK1-1) (hGSTK1) (Glutathione S-transferase subunit 13)","GSTK1 HDCMD47P","Homo sapiens (Human)",226,"GO:0004364; GO:0004602; GO:0005739; GO:0005759; GO:0005777; GO:0005782; GO:0005829; GO:0006749; GO:0016020; GO:0030855; GO:0070062","epithelial cell differentiation [GO:0030855]; glutathione metabolic process [GO:0006749]","glutathione peroxidase activity [GO:0004602]; glutathione transferase activity [GO:0004364]","cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; peroxisomal matrix [GO:0005782]; peroxisome [GO:0005777]",NA,NA,"Q9Y2Q3;","R-HSA-156590;R-HSA-9033241;",NA,"O95273; Q8IZU0; Q60994; Q7Z3Y8"
"gene-LOC134707468|LOC134707468",10.5876169715096,3.46407350264827,0.728960605233733,7.86635573864032e-08,2.33217211297952e-05,"LOC134707468","lcl|NC_086374.1_cds_XP_063423296.1_8526","sp","Q1HG43","DOXA1","HUMAN",30.466,279,187,7,31,855,8,283,9.35e-29,120,"reviewed","DOXA1_HUMAN","Dual oxidase maturation factor 1 (Dual oxidase activator 1) (Numb-interacting protein)","DUOXA1 NIP NUMBIP","Homo sapiens (Human)",343,"GO:0005783; GO:0005789; GO:0005886; GO:0008104; GO:0010729; GO:0015031; GO:0016020; GO:0019899; GO:0031252; GO:0042743; GO:0045666; GO:0050727; GO:2000609","hydrogen peroxide metabolic process [GO:0042743]; positive regulation of hydrogen peroxide biosynthetic process [GO:0010729]; positive regulation of neuron differentiation [GO:0045666]; protein localization [GO:0008104]; protein transport [GO:0015031]; regulation of inflammatory response [GO:0050727]; regulation of thyroid hormone generation [GO:2000609]","enzyme binding [GO:0019899]","cell leading edge [GO:0031252]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020]; plasma membrane [GO:0005886]",NA,NA,"Q1HG43;",NA,NA,"Q9NRD9"
"gene-LOC134720932|LOC134720932",230.934659584329,2.58129666866042,0.60964236541889,8.99122288706618e-07,9.93260392334201e-05,"LOC134720932","lcl|NC_086378.1_cds_XP_063439582.1_23872","tr","A0A193DUA2","A0A193DUA2","MYTCO",35.518,656,376,22,292,2181,105,739,8.49e-107,347,"unreviewed","A0A193DUA2_MYTCO","Byssal peroxidase-like protein 2",NA,"Mytilus coruscus (Sea mussel)",742,"GO:0004601; GO:0006979; GO:0020037; GO:0046872","response to oxidative stress [GO:0006979]","heme binding [GO:0020037]; metal ion binding [GO:0046872]; peroxidase activity [GO:0004601]",NA,NA,NA,NA,NA,NA,NA
"gene-LOC134690636|LOC134690636",109.295795737249,2.01630733204894,0.353040638810525,5.10687130834158e-10,5.64156073432494e-07,"LOC134690636","lcl|NC_086383.1_cds_XP_063406683.1_40697","sp","P46436","GST1","ASCSU",37.156,218,115,6,1,624,1,206,1.01e-38,135,"reviewed","GST1_ASCSU","Glutathione S-transferase 1 (EC 2.5.1.18) (GST class-sigma)","GST1","Ascaris suum (Pig roundworm) (Ascaris lumbricoides)",206,"GO:0004364; GO:0004602; GO:0005737; GO:0005903; GO:0006749; GO:0098869","cellular oxidant detoxification [GO:0098869]; glutathione metabolic process [GO:0006749]","glutathione peroxidase activity [GO:0004602]; glutathione transferase activity [GO:0004364]","brush border [GO:0005903]; cytoplasm [GO:0005737]",NA,NA,NA,NA,NA,NA
"gene-LOC134686933|LOC134686933",9.44230038730671,2.0098080469198,1.06641813817777,0.00126656150994784,0.0253683934602569,"LOC134686933","lcl|NC_086382.1_cds_XP_063402859.1_37847","sp","P42620","YQJG","ECOLI",57.857,280,114,1,37,876,48,323,1.28e-115,338,"reviewed","YQJG_ECOLI","Glutathionyl-hydroquinone reductase YqjG (GS-HQR) (EC 1.8.5.7)","yqjG b3102 JW3073","Escherichia coli (strain K12)",328,"GO:0004364; GO:0005737; GO:0016672; GO:0042803",NA,"glutathione transferase activity [GO:0004364]; oxidoreductase activity, acting on a sulfur group of donors, quinone or similar compound as acceptor [GO:0016672]; protein homodimerization activity [GO:0042803]","cytoplasm [GO:0005737]","b3102 JW3073",NA,NA,NA,NA,NA
"gene-LOC134720677|LOC134720677",120.976001560251,2.00403520432614,0.323682733464135,2.77142361135669e-11,5.10265277244288e-08,"LOC134720677","lcl|NC_086378.1_cds_XP_063439162.1_23313","sp","P78417","GSTO1","HUMAN",43.033,244,124,6,4,711,5,241,2.84e-63,200,"reviewed","GSTO1_HUMAN","Glutathione S-transferase omega-1 (GSTO-1) (EC 2.5.1.18) (Glutathione S-transferase omega 1-1) (GSTO 1-1) (Glutathione-dependent dehydroascorbate reductase) (EC 1.8.5.1) (Monomethylarsonic acid reductase) (MMA(V) reductase) (EC 1.20.4.2) (S-(Phenacyl)glutathione reductase) (SPG-R)","GSTO1 GSTTLP28","Homo sapiens (Human)",241,"GO:0004364; GO:0005737; GO:0005829; GO:0006749; GO:0010880; GO:0010881; GO:0014810; GO:0016491; GO:0019852; GO:0042178; GO:0045174; GO:0050610; GO:0060315; GO:0060316; GO:0070062; GO:0071243","cellular response to arsenic-containing substance [GO:0071243]; glutathione metabolic process [GO:0006749]; L-ascorbic acid metabolic process [GO:0019852]; negative regulation of ryanodine-sensitive calcium-release channel activity [GO:0060315]; positive regulation of ryanodine-sensitive calcium-release channel activity [GO:0060316]; positive regulation of skeletal muscle contraction by regulation of release of sequestered calcium ion [GO:0014810]; regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion [GO:0010881]; regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum [GO:0010880]; xenobiotic catabolic process [GO:0042178]","glutathione dehydrogenase (ascorbate) activity [GO:0045174]; glutathione transferase activity [GO:0004364]; methylarsonate reductase activity [GO:0050610]; oxidoreductase activity [GO:0016491]","cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]",NA,NA,"P78417;","R-HSA-156581;R-HSA-156590;R-HSA-196836;R-HSA-8950505;",NA,"P04792"
"gene-LOC134721315|LOC134721315",308.89333211535,1.6606730129442,0.307491251135396,3.25465642279727e-09,2.11495232368479e-06,"LOC134721315","lcl|NC_086373.1_cds_XP_063440290.1_1607","sp","Q8R5I6","GSTM4","MOUSE",48.372,215,110,1,1,642,1,215,3.11e-71,219,"reviewed","GSTM4_MOUSE","Glutathione S-transferase Mu 4 (EC 2.5.1.18) (GST class-mu 4) (GSTM4-4) (Glutathione transferase GSTM7-7) (Leukotriene C4 synthase GSTM4) (EC 4.4.1.20)","Gstm4 Gstm7 Gstm7-7","Mus musculus (Mouse)",218,"GO:0004364; GO:0004464; GO:0005829; GO:0006749; GO:0018916; GO:0019899; GO:0042178; GO:0042759; GO:0042803; GO:0043295; GO:0045171","glutathione metabolic process [GO:0006749]; long-chain fatty acid biosynthetic process [GO:0042759]; nitrobenzene metabolic process [GO:0018916]; xenobiotic catabolic process [GO:0042178]","enzyme binding [GO:0019899]; glutathione binding [GO:0043295]; glutathione transferase activity [GO:0004364]; leukotriene-C4 synthase activity [GO:0004464]; protein homodimerization activity [GO:0042803]","cytosol [GO:0005829]; intercellular bridge [GO:0045171]",NA,NA,NA,"R-MMU-156590;R-MMU-9026762;",NA,NA
"gene-LOC134707467|LOC134707467",34.2566883739316,1.63304852317925,0.853843603938798,0.00128883375667311,0.0256999034475954,"LOC134707467","lcl|NC_086374.1_cds_XP_063423294.1_8523","sp","Q8CIY2","DUOX1","RAT",41.748,1545,845,21,70,4605,29,1551,0,1154,"reviewed","DUOX1_RAT","Dual oxidase 1 (EC 1.11.1.-) (EC 1.6.3.1)","Duox1","Rattus norvegicus (Rat)",1551,"GO:0004601; GO:0005509; GO:0005783; GO:0005886; GO:0006590; GO:0006952; GO:0006979; GO:0009986; GO:0016175; GO:0016324; GO:0019221; GO:0020037; GO:0031252; GO:0042335; GO:0042446; GO:0042554; GO:0042744; GO:0043020; GO:0050665; GO:0051591; GO:0072593; GO:0090303; GO:0106293; GO:0106294; GO:2000147","cuticle development [GO:0042335]; cytokine-mediated signaling pathway [GO:0019221]; defense response [GO:0006952]; hormone biosynthetic process [GO:0042446]; hydrogen peroxide biosynthetic process [GO:0050665]; hydrogen peroxide catabolic process [GO:0042744]; positive regulation of cell motility [GO:2000147]; positive regulation of wound healing [GO:0090303]; reactive oxygen species metabolic process [GO:0072593]; response to cAMP [GO:0051591]; response to oxidative stress [GO:0006979]; superoxide anion generation [GO:0042554]; thyroid hormone generation [GO:0006590]","calcium ion binding [GO:0005509]; heme binding [GO:0020037]; NADH oxidase H202-forming activity [GO:0106293]; NADPH oxidase H202-forming activity [GO:0106294]; peroxidase activity [GO:0004601]; superoxide-generating NAD(P)H oxidase activity [GO:0016175]","apical plasma membrane [GO:0016324]; cell leading edge [GO:0031252]; cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; NADPH oxidase complex [GO:0043020]; plasma membrane [GO:0005886]",NA,NA,NA,"R-RNO-209968;","UPA00194;",NA
"gene-LOC134728353|LOC134728353",23.960208110558,1.60716579323737,0.450495114028038,1.45977406575812e-05,0.00085323407959947,"LOC134728353","lcl|NC_086373.1_cds_XP_063449021.1_2876","sp","Q3SZJ4","PTGR1","BOVIN",55.821,335,133,6,1,978,1,329,5.31e-110,326,"reviewed","PTGR1_BOVIN","Prostaglandin reductase 1 (PRG-1) (15-oxoprostaglandin 13-reductase) (EC 1.3.1.48) (Dithiolethione-inducible gene 1 protein) (D3T-inducible gene 1 protein) (DIG-1) (Leukotriene B4 12-hydroxydehydrogenase) (NAD(P)H-dependent alkenal/one oxidoreductase) (EC 1.3.1.74)","PTGR1 LTB4DH","Bos taurus (Bovine)",329,"GO:0005737; GO:0006693; GO:0035798; GO:0036102; GO:0036132; GO:0036185; GO:0047522; GO:0097257; GO:2001302","leukotriene B4 metabolic process [GO:0036102]; lipoxin A4 metabolic process [GO:2001302]; prostaglandin metabolic process [GO:0006693]","13-lipoxin reductase activity [GO:0036185]; 13-prostaglandin reductase activity [GO:0036132]; 15-oxoprostaglandin 13-oxidase activity [GO:0047522]; 2-alkenal reductase (NADPH) activity [GO:0035798]; leukotriene B4 12-hydroxy dehydrogenase activity [GO:0097257]","cytoplasm [GO:0005737]",NA,NA,NA,NA,NA,NA
"gene-LOC134697056|LOC134697056",35.7464976311363,1.43119437724157,0.971531573507419,0.00258715648604016,0.0428354090019917,"LOC134697056","lcl|NC_086386.1_cds_XP_063415144.1_49792","sp","B2GV72","CRB3","RAT",48.529,272,139,1,10,822,6,277,2.9e-99,295,"reviewed","CRB3_RAT","Carbonyl reductase [NADPH] 3 (EC 1.1.1.184) (Monomeric carbonyl reductase 3) (Quinone reductase CBR3) (EC 1.6.5.10)","Cbr3","Rattus norvegicus (Rat)",277,"GO:0000253; GO:0004090; GO:0005654; GO:0005829; GO:0008753; GO:0042376; GO:0050890; GO:0070402","cognition [GO:0050890]; phylloquinone catabolic process [GO:0042376]","3-keto sterol reductase activity [GO:0000253]; carbonyl reductase (NADPH) activity [GO:0004090]; NADPH binding [GO:0070402]; NADPH dehydrogenase (quinone) activity [GO:0008753]","cytosol [GO:0005829]; nucleoplasm [GO:0005654]",NA,NA,NA,"R-RNO-211945;",NA,NA
